Plate_ID,Well,Breeder_ID,Larva_ID,BreederF,BreederM
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4E,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200128-Plate2-4F,Z2622-F22,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-2G,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-2H,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3A,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3B,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3C,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3D,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3E,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200204-Plate2-3F,Z2622-F21,Z2622-M26a
Plate 1(FC20200305),G10,Z2622-M26a,20200211-Plate2-2G,Z2622-F20,Z2622-M26a
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10C,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10D,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10E,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10F,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10G,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-10H,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-11A,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-11B,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-11C,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-11D,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200310-Plate2-11E,Z2624-F38a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10A,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10B,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10C,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10D,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10E,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10F,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10G,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-10H,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-11A,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-11B,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-11C,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),G5,Z2622-M7,20200317-Plate2-11D,Z3030-F37a,Z2622-M7
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-5D,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-5E,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-5F,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-5G,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-5H,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-6A,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200121-Plate1-6B,Z2622-F8,Z2622-M11
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5A,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5B,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5C,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5D,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5E,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5F,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5G,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200211-Plate1-5H,Z2622-F8,Z2622-M14a
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-2E,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-2F,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-2G,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-2H,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-3A,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-3B,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-3C,Z2622-F8,Z2622-M15
Plate 1(FC20200305),H1,Z2622-F8,20200218-Plate1-3D,Z2622-F8,Z2622-M15
